編號	題名	型式	朝代	作者	內容
95	行香子		宋	秦觀	樹繞村莊，水滿陂榶。倚東風，豪興徜徉。小園幾許？收盡春光：有桃花紅，李花白，菜花黃。遠遠苔牆，隱隱茅堂。颺青旗，流水橋旁。偶然乘興，步過東岡：正鶯兒啼，燕兒舞，蠂兒忙。
96	小重山		宋	岳飛	昨夜寒蛩不住鳴，驚回千里夢，已三更。起來獨自繞階行。人悄悄，簾外月朧明。白首為功名，舊山松竹老，阻歸程。欲將心事付瑤琴。知音少，絃斷有誰聽？
97	訴衷情		宋	晏殊	東風楊柳欲青青，煙淡雨初晴。惱他香閣濃睡，撩亂有啼鶯。眉葉細，舞腰輕，宿粧成。一春芳意，三月和風，牽繫人情。
98	鷓鴣天		宋	蘇軾	林斷山明竹隱牆，亂蟬衰草小池塘。翻空白鳥時時見，照水紅蕖細細香。村舍外，古城旁，杖藜徐步轉斜陽。殷勤昨夜三更雨，又得浮生一日涼。
99	定風波		宋	蘇軾	莫聽穿林打葉聲，何妨吟嘯且徐行。竹杖芒鞋輕勝馬，誰怕？一蓑煙雨任平生。料峭春風吹酒醒，微冷。山頭斜照卻相迎。回首向來蕭瑟處。歸去，也無風雨也無晴。
100	漁父詞		唐	張志和	西塞山前白鷺飛，桃花流水鱖魚肥。青篛笠，綠簑衣，斜風細雨不須歸。
101	西江月 (示兒曹，以家事付之)		宋	辛棄疾	萬事雲煙忽過，百年蒲柳先衰。而今何事最相宜？宜醉，宜遊，宜睡。早趁催科了納，更量出入收支。乃翁依舊管些兒：管竹，管山，管水。
102	江城子 (乙卯正月二十紀夢)		宋	蘇軾	十年生死兩茫茫，不思量，自難忘。千里孤墳，無處話淒涼。縱使相逢應不識，塵滿面，鬢如霜。夜來幽夢忽還鄉，小軒穾，正梳妝。相顧無言，惟有淚千行。料得年年腸斷處，明月夜，短松岡。
103	釵頭鳳		宋	唐婉	世情薄，人情惡，雨送黃花易落。曉風乾，淚痕殘，欲箋心事獨語斜闌。難！難！難！人成各，今非昨，病魂常似秋千索。角聲寒，夜闌珊，怕人尋間咽淚裝歡。瞞！瞞！瞞！
104	過零丁洋		宋	文天祥	辛苦遭逢起一經，干戈落落四周星。山河破碎風拋絮，身世飄搖雨打萍。惶恐灘頭說惶恐，零丁洋裏嘆零丁。人生自古誰無死，留取丹心照汗青。
105	短歌行		東漢	曹操	對酒當歌，人生幾何？譬如朝露，去日苦多。慨當以慷，憂思難忘，何以解憂，惟有杜康。青青子衿，悠悠我心，但為君故，沉吟至今。呦呦鹿鳴，食野之革，我有嘉賓，鼓瑟吹笙。明明如月，何時可掇，憂從中來，不可斷絕。越陌度阡，枉用相存，契闊京讌，心念舊恩。月明星稀，烏鵲南飛，繞樹三匝，無枝可依。山不厭高，海不厭深，周公吐哺，天下歸心。
106	寄李儋元		唐	韋應物	去年花裏逢君別，今日花開又一年。世事茫茫難自料，春愁黯黯獨成明。身多疾病思田里，邑有流亡愧俸錢。聞道欲來相問訊，西樓望月幾時圓。
107	秘魔崖月夜		現代	胡適	依舊是月圓時，依舊是空山，靜夜。我獨自月下歸來，這淒涼如何能解！翠微山上的一陣松濤，驚破了空山的寂靜。山風吹亂了窗紙上的松痕，吹不散我心頭的人影！
108	和子由澠池懷舊		宋	蘇軾	人生到處知何似？應似飛鴻踏雪泥。泥上偶然留指爪，鴻飛那復計東西。老僧已死成新塔，壞壁無由見舊題。往日崎嶇還記否？路長人困蹇驢嘶。
109	代悲白頭翁		唐	劉希夷	洛陽城東桃李花，飛來飛去落誰家？洛陽女兒好顏色，坐見落花長嘆息。今年花落顏色改，明年花開復誰在？已見松柏摧為薪，更聞桑田變成海。古人無復洛城東，今人還對落花風。年年歲歲花相似，歲歲年年人不同。寄言全盛紅顏子，應憐半死白頭翁，此翁白頭誠可憐，伊昔紅顏美少年。公子王孫芳樹下，清歌妙舞落花前。光祿池塘開錦繡，將軍樓閣畫神仙。一朝臥病無相識，三春行樂在誰邊？宛轉蛾眉能幾時？須臾鶴髮亂如絲。但看古來歌舞地，惟有黃昏鳥雀悲。
110	四時讀書樂 (春)		元	翁森	山光照檻水繞廊，舞雩歸詠春風香。好鳥枝頭亦朋友，落花水面皆文章。蹉跎莫遣韶光老，人生惟有讀書好。讀書之樂樂何如？綠滿窗前草不除。
111	四時讀書樂 (夏)		元	翁森	新竹壓檐桑四圍，小齋幽敞明朱曦。晝長吟罷蟬鳴樹，夜深燼落螢入幃。北窗高臥羲皇侶，只因素稔讀書趣。讀書之樂樂無窮，瑤琴一曲來薰風。
112	四時讀書樂 (秋)		元	翁森	昨夜庭前葉有聲，籬豆花開蟋蟀鳴。不覺商意滿林薄，蕭然萬籟涵虛清。近床賴有短檠在，對此讀書功更倍。讀書之樂樂陶陶，起弄明日霜天高。
113	四時讀書樂 (冬)		元	翁森	木落水盡千崖枯，迥然吾亦見真吾。坐對韋編燈動壁，高歌夜半雪壓廬。地爐茶鼎烹活火，四壁圖書中有我。讀書之樂樂何尋？數點梅花天地心。
114	春日偶成		宋	程顥	雲淡風輕近午天，傍花隨柳過前川。時人不識余心樂，將謂偷閒學少年。
115	垓下歌		秦	項羽	力拔山兮氣蓋世，時不利兮騅不逝。騅不逝兮可奈何！虞兮虞兮奈若何！
116	小詩		現代	胡適	也想不相思，可免相思苦，幾次細思量，情願相思苦！
117	佳人歌		漢	李延年	北方有佳人，絕世而獨立，一顧傾人城，再顧傾人國，寧不知傾城與傾國，佳人難再得。
118	秋浦歌		唐	李白	白髮三千丈，離愁似箇長，不知明鏡裏，何處得秋霜
119	蔽月山房		明	王陽明	山近月遠覺月小，便道此山大於月。若人有眼大如天，當見山高月更闊。
120	寒夜		不詳	杜小山	寒夜客來茶當酒，竹爐湯沸火初紅。尋常一樣窗前月，纔有梅花便不同。
121	早春		不詳	白玉蟾	南枝纔放兩三花，雪裏吟香弄粉些。淡淡著煙濃著月，深深籠水淺籠沙。
122	除夜		不詳	王諲	今歲今宵盡，明年明月催。寒隨一夜去，春逐五更來。氣色空中改，容顏暗裏回。風光人不親，已入後園梅。
123	怨詩行		三國	曹植	明月照高樓，流光正徘徊。上有愁思婦，悲嘆有餘哀。借問嘆者誰？言是蕩子妻。君行踰十年，孤妾常獨棲。君若清路塵，妾若濁水泥。浮沉各異勢，會合何時諧？願為西南風，長逝入君懷。君懷良不開，賤妾當何依？
124	野田黃雀行		三國	曹植	高樹多悲風，海水揚其波。利劍不在掌，結交何須多？不見籬間雀，見鷂自投羅。羅家得雀喜，少年見雀悲。拔劑捎羅網，黃雀得飛飛。飛飛摩蒼天，來下謝少年。
